Name,Position,Team,Ppg,Ast,Trb,Stls,Blks
GG Jackson II,PF,MEM,7.2,1.0,3.2,0.4,0.2
Vit Krejci,PG,ATL,7.2,2.6,2.7,0.6,0.5
Sam Merrill,SG,CLE,7.2,1.5,2.2,0.7,0.2
Daeqwon Plowden,SG,ATL,7.2,0.3,1.8,0.0,0.0
Nae'Qwan Tomlin,PF,CLE,7.2,0.4,4.2,0.0,0.2
Josh Okogie,SG,CHO,8.9,1.3,2.7,1.8,0.5
Jalen Hood-Schifino,SG,PHI,7.8,2.8,2.0,0.4,0.5
Jamison Battle,SF,TOR,7.1,0.9,2.7,0.3,0.2
Alex Caruso,SG,OKC,7.1,2.5,2.9,1.6,0.6
Jamal Shead,PG,TOR,7.1,4.2,1.5,0.8,0.1
Jeff Dowtin Jr.,PG,PHI,7.0,1.9,1.5,0.6,0.3
Marcus Garrett,SG,CHO,7.0,3.3,1.5,0.8,0.5
Isaiah Jackson,C,IND,7.0,1.0,5.6,0.6,1.6
Jaylen Sims,SG,CHO,7.0,2.0,1.0,0.5,0.2
Orlando Robinson,C,TOR,8.1,1.9,5.9,0.4,0.4
Jake LaRavia,PF,SAC,6.1,1.3,2.8,0.9,0.2
Ryan Dunn,SF,PHO,6.9,0.8,3.6,0.6,0.5
Jay Huff,C,MEM,6.9,0.6,2.0,0.3,0.9
Cameron Payne,PG,NYK,6.9,2.8,1.4,0.5,0.2
Antonio Reeves,SG,NOP,6.9,0.9,1.4,0.5,0.1
Cody Martin,SF,PHO,3.7,1.1,3.4,0.9,0.4
Bol Bol,PF,PHO,6.8,0.6,2.9,0.3,0.7
Eric Gordon,SG,PHI,6.8,1.7,1.2,0.7,0.3
Jaxson Hayes,C,LAL,6.8,1.0,4.8,0.6,0.9
Marcus Bagley,SF,PHI,6.7,1.0,7.0,0.9,1.2
DaQuan Jeffries,SG,CHO,6.7,1.1,2.9,0.6,0.5
Lester Quiñones,SG,NOP,8.6,2.6,1.7,0.3,0.2
Vasilije Micić,PG,PHO,0.0,0.2,0.4,0.0,0.0
Precious Achiuwa,C,NYK,6.6,1.0,5.6,0.8,0.7
Trayce Jackson-Davis,C,GSW,6.6,1.7,5.0,0.4,0.6
Marcus Sasser,PG,DET,6.6,2.3,1.2,0.6,0.1
Vince Williams Jr.,SG,MEM,6.6,2.0,3.6,0.4,0.3
Thomas Bryant,C,IND,6.9,0.9,3.9,0.5,0.6
Donovan Clingan,C,POR,6.5,1.1,7.9,0.5,1.6
Seth Curry,SG,CHO,6.5,0.9,1.7,0.4,0.1
Haywood Highsmith,SF,MIA,6.5,1.5,3.4,0.9,0.5
Talen Horton-Tucker,SG,CHI,6.5,1.4,1.7,0.4,0.2
Trey Lyles,PF,SAC,6.5,1.2,4.6,0.6,0.3
Ajay Mitchell,SG,OKC,6.5,1.8,1.9,0.7,0.1
Gary Payton II,SG,GSW,6.5,1.3,3.0,0.8,0.3
Zach Collins,PF,CHI,8.6,2.1,6.7,0.5,0.5
Kris Dunn,PG,LAC,6.4,2.8,3.4,1.7,0.4
Ron Holland,SF,DET,6.4,1.0,2.7,0.6,0.2
KJ Martin,SF,UTA,6.3,1.5,2.8,0.3,0.3
Gabe Vincent,PG,LAL,6.4,1.4,1.3,0.7,0.2
Sandro Mamukelashvili,PF,SAS,6.3,0.8,3.1,0.4,0.3
Jeremiah Robinson-Earl,PF,NOP,6.3,1.3,4.8,0.6,0.1
Kenrich Williams,PF,OKC,6.3,1.4,3.5,0.6,0.1
Bones Hyland,PG,MIN,1.3,1.0,0.3,0.0,0.0
Jonathan Mogbo,PF,TOR,6.2,2.3,4.9,0.9,0.5
Ryan Rollins,PG,MIL,6.2,1.9,1.9,0.8,0.3
Dru Smith,SG,MIA,6.2,1.6,2.6,1.5,0.4
Isaac Okoro,SG,CLE,6.1,1.2,2.4,0.6,0.3
Jarace Walker,PF,IND,6.1,1.5,3.1,0.7,0.3
N'Faly Dante,C,HOU,6.0,0.5,5.3,0.3,1.3
Mouhamed Gueye,PF,ATL,6.0,0.8,4.2,0.8,1.0
Luke Kornet,C,BOS,6.0,1.6,5.3,0.5,1.0
Isaiah Mobley,PF,PHI,6.0,5.0,4.0,1.0,1.0
Isaiah Stewart,C,DET,6.0,1.7,5.5,0.4,1.4
James Wiseman,C,IND,6.0,0.0,1.0,0.0,0.0
Isaiah Wong,SG,CHO,6.0,1.4,1.6,0.6,0.0
Cole Swider,SF,TOR,7.4,0.3,3.1,0.5,0.3
Chuma Okeke,PF,CLE,2.5,1.0,2.0,0.0,0.5
Kyle Anderson,SF,MIA,6.7,2.6,3.8,0.6,0.5
Simone Fontecchio,SF,DET,5.9,0.9,2.9,0.4,0.2
Collin Gillespie,PG,PHO,5.9,2.4,2.4,0.6,0.2
Tidjane Salaün,PF,CHO,5.9,1.2,4.7,0.5,0.2
Jaylin Williams,PF,OKC,5.9,2.6,5.6,0.5,0.6
Moses Brown,C,DAL,11.8,0.5,7.8,1.0,0.8
Adem Bona,C,PHI,5.8,0.5,4.2,0.4,1.2
Quenton Jackson,PG,IND,5.8,1.9,1.6,0.8,0.2
Robert Williams,C,POR,5.8,1.1,5.9,0.7,1.7
Moussa Diabaté,C,CHO,5.7,0.8,6.2,0.6,0.6
Dariq Whitehead,SF,BRK,5.7,0.6,1.5,0.3,0.1
Landry Shamet,SG,NYK,5.7,0.5,1.2,0.5,0.0
Jordan Goodwin,PG,LAL,5.6,1.4,3.9,1.0,0.4
Shake Milton,SG,LAL,3.9,1.3,1.8,0.3,0.1
Aaron Holiday,PG,HOU,5.5,1.3,1.3,0.3,0.2
Jeff Green,PF,HOU,5.4,0.6,1.8,0.2,0.1
Jonathan Isaac,PF,ORL,5.4,0.6,4.4,0.9,1.1
Dean Wade,PF,CLE,5.4,1.3,4.2,0.7,0.3
Keaton Wallace,PG,ATL,5.4,2.6,1.6,0.9,0.3
Kobe Bufkin,SG,ATL,5.3,1.7,2.1,0.3,0.2
Jamal Cain,SF,NOP,5.3,0.6,2.3,0.6,0.2
Pat Connaughton,SG,MIL,5.3,1.7,2.7,0.2,0.3
Kevin Love,PF,MIA,5.3,1.0,4.1,0.7,0.2
Ben Sheppard,SG,IND,5.3,1.3,2.8,0.6,0.2
Monte Morris,PG,PHO,5.2,1.6,1.5,0.4,0.1
